Index,Epoch Info,Loss
894,2-2400/20565,4.8883
895,2-2450/20565,2.5904
896,2-2500/20565,2.0634
897,2-2550/20565,4.2000
898,2-2600/20565,3.2220
899,2-2650/20565,3.9479
900,2-2700/20565,2.9172
901,2-2750/20565,3.8588
902,2-2800/20565,3.6881
903,2-2850/20565,2.5319
904,2-2900/20565,3.4971
905,2-2950/20565,2.6045
906,2-3000/20565,2.9773
907,2-3050/20565,3.7765
908,2-3100/20565,2.5097
909,2-3150/20565,4.7617
910,2-3200/20565,2.9161
911,2-3250/20565,2.9657
912,2-3300/20565,3.6976
913,2-3350/20565,3.1134
914,2-3400/20565,3.7136
915,2-3450/20565,2.7995
916,2-3500/20565,3.6225
917,2-3550/20565,3.0203
918,2-3600/20565,3.9476
919,2-3650/20565,4.2623
920,2-3700/20565,3.5611
921,2-3750/20565,3.4561
922,2-3800/20565,3.1595
923,2-3850/20565,3.6439
924,2-3900/20565,3.5497
925,2-3950/20565,3.5098
926,2-4000/20565,2.4769
927,2-4050/20565,4.1488
928,2-4100/20565,3.4403
929,2-4150/20565,4.3645
930,2-4200/20565,3.2721
931,2-4250/20565,3.3899
932,2-4300/20565,3.4575
933,2-4350/20565,3.9052
934,2-4400/20565,3.5929
935,2-4450/20565,3.0792
936,2-4500/20565,4.4423
937,2-4550/20565,2.8354
938,2-4600/20565,2.9419
939,2-4650/20565,1.9862
940,2-4700/20565,3.8784
941,2-4750/20565,3.6195
942,2-4800/20565,2.6973
943,2-4850/20565,3.3831
944,2-4900/20565,3.6998
945,2-4950/20565,4.5037
946,2-5000/20565,4.6647
947,2-5050/20565,3.9648
948,2-5100/20565,3.0337
949,2-5150/20565,3.6975
950,2-5200/20565,3.1222
